model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std,new_brain_score,new_brain_score_std,new_ceiling_score
convit_tiny.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.0.attn.v,0.7398336016091508,0.4693406828030561,0.1527467104506204,0.44973229072001325,0.10828586955424534,0.7720904522643185
convmixer_1024_20_ks9_p14.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.11.0.fn.2,0.7398336016091508,0.1589855363732544,0.1483103963978436,0.15234334479054054,0.10514085829080505,0.7720904522643185
convmixer_1536_20.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.10.0.fn.1,0.7398336016091508,0.3749120555572733,0.156590545176003,0.359248758401524,0.11101085776795495,0.7720904522643185
convmixer_768_32.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.19.0.fn.0,0.7398336016091508,0.4949170695539651,0.1528743401572819,0.4742401320883141,0.10837634936704145,0.7720904522643185
davit_base.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.0.cpe1,0.7398336016091508,0.4911891228804632,0.1974129017189826,0.47066793377142624,0.13995082225209374,0.7720904522643185
davit_small.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.3.0.cpe1,0.7398336016091508,0.4963413549165789,0.1576724576478367,0.4756049128163382,0.1117778519143328,0.7720904522643185
davit_tiny.msft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,stages.2.blocks.1,0.7398336016091508,0.48086444902395,0.1497360568986191,0.4607746102336175,0.10615154380121754,0.7720904522643185
deit_base_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2.drop_path1,0.7398336016091508,0.4944873940600927,0.1519435975585156,0.47382840783084845,0.10771652323172728,0.7720904522643185
deit_base_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4940243450997794,0.1203319528345513,0.47338470440332225,0.08530625706706929,0.7720904522643185
deit_small_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4892743088048952,0.1219995115997306,0.4688331179285613,0.08648843015863726,0.7720904522643185
deit_small_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.495845593366857,0.1473528874377175,0.4751298634852729,0.10446205682891199,0.7720904522643185
deit_tiny_distilled_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.488085790208084,0.1431408336855462,0.46769425396323244,0.10147602916378241,0.7720904522643185
deit_tiny_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm1,0.7398336016091508,0.4816233666722364,0.1345012002831833,0.46150182137242884,0.0953511822662958,0.7720904522643185
deit3_base_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.501009978461042,0.1554480765186546,0.48007848785062057,0.11020093386429464,0.7720904522643185
deit3_base_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.2,0.7398336016091508,0.4785518320095308,0.1328424123369749,0.4585586110978911,0.09417522702227538,0.7720904522643185
deit3_medium_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4980290690142842,0.1463124438056146,0.4772221165982656,0.10372446095472221,0.7720904522643185
deit3_medium_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.3.ls1,0.7398336016091508,0.4887683791403562,0.153829272498191,0.4683483252921816,0.10905332420071057,0.7720904522643185
deit3_small_patch16_224.fb_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm1,0.7398336016091508,0.4876867262518102,0.1265987967800923,0.46731186233647865,0.08974897563038033,0.7720904522643185
deit3_small_patch16_224.fb_in22k_ft_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,blocks.1.norm2,0.7398336016091508,0.4834845517357186,0.1659186325323472,0.4632852487477304,0.1176237664694241,0.7720904522643185
densenet121.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer17.norm1.drop,0.7398336016091508,0.4983430468026408,0.1016379393821299,0.4775229768372491,0.0720536148583939,0.7720904522643185
densenet161.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer19.conv1,0.7398336016091508,0.4979659756861854,0.1086185060895224,0.47716165922047005,0.07700230890006217,0.7720904522643185
densenet169.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer11.norm2.drop,0.7398336016091508,0.4799852628269815,0.1087391038117207,0.4599321551965417,0.07708780356751509,0.7720904522643185
densenet201.tv_in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,features.denseblock3.denselayer17.norm1.drop,0.7398336016091508,0.4907620311643577,0.1399712684158028,0.47025868534513493,0.09922904701712561,0.7720904522643185
dla102.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2.tree2.tree1.conv2,0.7398336016091508,0.4763522589172517,0.1208552737682514,0.45645093306859935,0.08567725204427358,0.7720904522643185
dla169.in1k,red_central_it,"(14, 3, 224, 224)","(14, 9, 9, 32)",91,130,level4.tree1.tree2.tree2.tree2.tree1.conv2,0.7398336016091508,0.4929453079012012,0.1876842369358875,0.47235074785774767,0.13305393444003324,0.7720904522643185
