model_name,stimuli_name,neural_response_shape,layer_name,ceiling_score,brain_score_std,brain_score
deit3_base_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.009728803,0.501021333
mvitv2_small.fb_in1k,MajajHong2015public,"(3200, 168)",stages.2.blocks.7.norm1,0.815799356,0.01243447,0.489760262
swin_s3_tiny_224.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.3.mlp.drop1,0.815799356,0.015348243,0.525826005
res2net50_14w_8s.in1k,MajajHong2015public,"(3200, 168)",layer4.2.bn3,0.815799356,0.015517346,0.457164355
deit3_base_patch16_224.fb_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.016838552,0.502473148
tresnet_v2_l.miil_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",body.layer4.2.conv1.conv,0.815799356,0.009687545,0.487897194
mvitv2_tiny.fb_in1k,MajajHong2015public,"(3200, 168)",stages.3.blocks.0.mlp.fc1,0.815799356,0.012164391,0.504573106
deit3_medium_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.9.attn.qkv,0.815799356,0.011153168,0.487902887
res2net50_26w_4s.in1k,MajajHong2015public,"(3200, 168)",layer3.4.conv1,0.815799356,0.015953476,0.511829439
deit3_medium_patch16_224.fb_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.01798868,0.498937926
vit_base_patch8_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.013938529,0.516562778
swin_small_patch4_window7_224.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.6.mlp.act,0.815799356,0.016694789,0.53374072
deit3_small_patch16_224.fb_in1k,MajajHong2015public,"(3200, 168)",blocks.10.attn.proj,0.815799356,0.011874708,0.470528415
pit_b_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1.blocks.4.mlp.act,0.815799356,0.012574334,0.514135184
focalnet_base_lrf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.11.modulation.focal_layers.1,0.815799356,0.010563323,0.532420196
deit3_small_patch16_224.fb_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.019000819,0.485363438
res2net50_26w_6s.in1k,MajajHong2015public,"(3200, 168)",layer3.3,0.815799356,0.015578156,0.532321342
vit_base_patch8_224.augreg2_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.014265822,0.483316214
swin_small_patch4_window7_224.ms_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.15.norm2,0.815799356,0.011368151,0.524948351
densenet121.tv_in1k,MajajHong2015public,"(3200, 168)",features.denseblock3.denselayer22.norm1.drop,0.815799356,0.007410885,0.540806803
pit_b_distilled_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1.blocks.4.mlp.act,0.815799356,0.01505524,0.523270484
tresnet_xl.miil_in1k,MajajHong2015public,"(3200, 168)",body.layer4.0,0.815799356,0.010174196,0.518845741
vit_small_patch16_224.augreg_in1k,MajajHong2015public,"(3200, 168)",blocks.11.norm2,0.815799356,0.005878497,0.485076283
res2net50_26w_8s.in1k,MajajHong2015public,"(3200, 168)",layer4.2.bn3,0.815799356,0.015166527,0.459839789
swin_tiny_patch4_window7_224.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.3.mlp.drop1,0.815799356,0.012188428,0.529319817
pit_s_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.017403957,0.541400004
res2net50_48w_2s.in1k,MajajHong2015public,"(3200, 168)",layer4.2,0.815799356,0.014113371,0.481985098
densenet161.tv_in1k,MajajHong2015public,"(3200, 168)",features.denseblock4.denselayer13.norm1.drop,0.815799356,0.011805813,0.538705472
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.3.mlp.drop1,0.815799356,0.016189839,0.525862614
vit_small_patch16_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.5.mlp,0.815799356,0.012293854,0.494156371
pit_s_distilled_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.013688354,0.545484345
resnest50d_1s4x24d.in1k,MajajHong2015public,"(3200, 168)",layer3.2.act2,0.815799356,0.011251072,0.51074408
pit_ti_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.013256677,0.515114757
twins_pcpvt_base.in1k,MajajHong2015public,"(3200, 168)",blocks.3.0.norm1,0.815799356,0.009067856,0.505898705
vit_srelpos_medium_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.10.norm1,0.815799356,0.012424179,0.511854982
densenet169.tv_in1k,MajajHong2015public,"(3200, 168)",features.denseblock4.denselayer6.norm1,0.815799356,0.012716145,0.540453468
focalnet_small_lrf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.2.blocks.15.modulation.act,0.815799356,0.014126879,0.539573112
resnest50d_4s2x40d.in1k,MajajHong2015public,"(3200, 168)",layer4.0.conv2.fc1,0.815799356,0.017043043,0.50032633
pit_ti_distilled_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.016385322,0.523039151
vit_srelpos_small_patch16_224.sw_in1k,MajajHong2015public,"(3200, 168)",blocks.10.norm1,0.815799356,0.012254057,0.511247521
resnest50d.in1k,MajajHong2015public,"(3200, 168)",layer3.4.conv1,0.815799356,0.009401097,0.490569699
pit_xs_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.013309818,0.522517601
densenet201.tv_in1k,MajajHong2015public,"(3200, 168)",features.denseblock3.denselayer36.norm1,0.815799356,0.01580582,0.538667487
resnet101.a3_in1k,MajajHong2015public,"(3200, 168)",layer4.1.act2,0.815799356,0.012510413,0.483559732
resnet10t.c3_in1k,MajajHong2015public,"(3200, 168)",layer4,0.815799356,0.010233114,0.525392285
vit_tiny_patch16_224.augreg_in21k_ft_in1k,MajajHong2015public,"(3200, 168)",blocks.4.attn.proj_drop,0.815799356,0.021999123,0.480949341
resnet14t.c3_in1k,MajajHong2015public,"(3200, 168)",layer4.0.act3,0.815799356,0.010084687,0.514373653
pit_xs_distilled_224.in1k,MajajHong2015public,"(3200, 168)",transformers.1_1,0.815799356,0.011023094,0.543570865
focalnet_tiny_lrf.ms_in1k,MajajHong2015public,"(3200, 168)",layers.3.blocks.0.norm2,0.815799356,0.010450405,0.5407998
dla102.in1k,MajajHong2015public,"(3200, 168)",level4.tree2.tree2.tree2,0.815799356,0.01453683,0.540337095
