model_name,SanghaviJozwik2020.V4-pls,Sanghavi2020.V4-pls,SanghaviMurty2020.V4-pls,MajajHong2015.V4-pls,ImageNet-top1,new_brain_score,new_brain_score_average
resnet18_ecoset_full,0.493,0.639,0.195,0.587,X,0.587,0.4785
efficientnet_b1_imagenet_full,0.469,0.656,0.191,0.584,0.684,0.584,0.475
ReAlnet09,0.45,0.57,0.156,0.516,0.644,0.516,0.423
resnet50_imagenet_100_seed-0,0.488,0.643,0.21,0.589,0.419,0.589,0.4825
convnext_small_imagenet_100_seed-0,0.465,0.599,0.207,0.571,0.535,0.571,0.4605
ReAlnet01,0.449,0.572,0.154,0.517,0.645,0.517,0.423
custom_model_cv_18_dagger_408,0.54,0.669,0.243,0.603,0.641,0.603,0.51375
antialias-resnet152,0.485,0.634,0.227,0.596,0.758,0.596,0.4855
ReAlnet05,0.451,0.568,0.159,0.515,0.646,0.515,0.42325
mobilenet_v2_1_4_224,0.475,0.636,0.229,0.547,X,0.547,0.47175
densenet-121,0.456,0.622,0.231,0.583,0.697,0.583,0.473
ReAlnet02,0.453,0.579,0.16,0.516,0.642,0.516,0.427
blt_vs,0.46,X,0.149,0.547,0.663,0.547,0.3853333333
ReAlnet03,0.447,0.574,0.157,0.518,0.644,0.518,0.424
resnet50_ecoset_full,0.473,0.626,0.179,0.58,X,0.58,0.4645
mobilenet_v2_0_75_160,0.464,0.598,0.234,0.549,X,0.549,0.46125
ReAlnet10_cornet,0.508,0.658,0.267,0.602,0.641,0.602,0.50875
VOneCORnet-S,0.487,0.631,0.219,0.58,X,0.58,0.47925
ViT_L_32_imagenet1k,0.395,0.543,0.171,0.531,0.744,0.531,0.41
ReAlnet08_cornet,0.507,0.661,0.263,0.604,0.644,0.604,0.50875
vgg_19,0.455,0.622,0.171,0.585,0.675,0.585,0.45825
resnet-152_v2_pytorch,0.191,0.403,0.037,0.316,0.775,0.316,0.23675
ReAlnet06,0.452,0.573,0.163,0.521,0.648,0.521,0.42725
