model_name,stimuli_name,stimuli_shape,neural_response_shape,time_a,time_b,layer_name,ceiling_score,brain_score,brain_score_std
dpn107.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_13.c1x1_c.bn.drop,0.7519179283171428,0.4945928279408918,0.3269889749234236
dpn131.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_23.c1x1_c.bn.drop,0.7519179283171428,0.4947692893797089,0.356121401147176
dpn68.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_10.c1x1_a,0.7519179283171428,0.4766090585493061,0.3424317263818674
dpn68b.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_9.c1x1_c.bn,0.7519179283171428,0.4998823710509713,0.3202587286651367
dpn92.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_20.c1x1_a,0.7519179283171428,0.4820234727898999,0.3227684111519256
dpn98.mx_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,features.conv4_18.c1x1_a,0.7519179283171428,0.4995098037246827,0.3356923829290973
efficientformer_l1.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.3.blocks.0.mlp.fc2,0.7519179283171428,0.4680141500693369,0.3412887351912924
efficientformer_l3.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.3.blocks.3.token_mixer.proj,0.7519179283171428,0.4237684340209978,0.346876520051511
efficientformer_l7.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.3.blocks.3,0.7519179283171428,0.4889706435502695,0.3294819655998415
efficientformerv2_l.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.14.token_mixer.k.bn,0.7519179283171428,0.5102012569610535,0.3330166761765061
efficientformerv2_s0.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.2.blocks.5.token_mixer.q,0.7519179283171428,0.430320618541625,0.3177689228810423
efficientformerv2_s1.snap_dist_in1k,george_central_it,"(14, 3, 224, 224)","(14, 17, 17, 31)",131,170,stages.3.downsample.attn.v.bn,0.7519179283171428,0.4701079393932353,0.3497094829778739
