model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
resnet18_linf_eps0.5,66.13,0.7483,11.69,adv,linf,224,1169.023688,0.502537682,0.036404478
resnet18_linf_eps1.0,63.46,0.7162,11.69,adv,linf,224,1162.454634,0.497623704,0.035166359
resnet18_linf_eps2.0,59.63,0.675,11.69,adv,linf,224,1161.082276,0.44556211,0.032673333
resnet18_linf_eps4.0,52.49,0.5927,11.69,adv,linf,224,1112.859668,0.219938423,0.017476909
resnet18_linf_eps8.0,42.11,0.4809,11.69,adv,linf,224,1256.711788,0.186866256,0.014626132
resnet18.a3_in1k,68.254,0.7365,11.69,cnn,none,160,1263.004214,0.333399599,0.070920552
resnet18.fb_ssl_yfcc100m_ft_in1k,72.594,0.8145,11.69,cnn,none,224,1390.068977,0.370680398,0.070380021
resnet18.fb_swsl_ig1b_ft_in1k,73.282,0.8193,11.69,cnn,none,224,1392.713832,0.383218062,0.070024396
resnet18.gluon_in1k,70.838,0.7951,11.69,cnn,none,224,1418.5779,0.341218528,0.071112845
resnet18.tv_in1k,69.76,0.7822,11.69,cnn,none,224,1408.810181,0.337162136,0.067620733
resnet34.a3_in1k,72.97,0.7899,21.8,cnn,none,160,1375.470594,0.321241224,0.074285428
resnet34.gluon_in1k,74.578,0.8367,21.8,cnn,none,224,1481.920373,0.321665886,0.071528422
resnet50_l2_eps0.01,75.68,0.8446,25.56,adv,l2,224,2976.526157,0.431398555,0.067006802
resnet50_l2_eps0.03,75.76,0.8461,25.56,adv,l2,224,2917.475336,0.457270836,0.066914085
resnet50_l2_eps0.05,75.59,0.8454,25.56,adv,l2,224,2901.617684,0.467204745,0.066912556
resnet50_l2_eps0.1,74.78,0.8378,25.56,adv,l2,224,2917.948337,0.481178878,0.066451157
resnet50_l2_eps0.25,74.14,0.8327,25.56,adv,l2,224,2926.555967,0.483717165,0.065982389
resnet50_l2_eps0.5,73.16,0.8236,25.56,adv,l2,224,2896.253695,0.473131718,0.065549278
resnet50_l2_eps1,70.43,0.7918,25.56,adv,l2,224,2909.244874,0.462040364,0.063952443
resnet50_l2_eps3,62.83,0.7113,25.56,adv,l2,224,2902.160127,0.424329231,0.062974231
resnet50_l2_eps5,56.13,0.6368,25.56,adv,l2,224,2895.351235,0.39546925,0.064620505
resnet50_linf_eps0.5,73.73,0.8286,25.56,adv,linf,224,2683.910905,0.51306504,0.048813362
resnet50_linf_eps1.0,72.05,0.8123,25.56,adv,linf,224,2653.514231,0.491168731,0.04694713
resnet50_linf_eps2.0,69.1,0.781,25.56,adv,linf,224,2627.021441,0.45061234,0.044566048
resnet50_linf_eps4.0,63.86,0.721,25.56,adv,linf,224,2533.949681,0.233747122,0.025280987
resnet50_linf_eps8.0,54.53,0.6199,25.56,adv,linf,224,2703.811592,0.300673713,0.035005709
resnet50.a1h_in1k,80.676,0.8826,25.56,cnn,none,176,909.8011861,0.23913389,0.076823941
resnet50.a3_in1k,78.048,0.8493,25.56,cnn,none,160,1346.788328,0.294924695,0.074373515
resnet50.am_in1k,78.998,0.8807,25.56,cnn,none,224,1512.884606,0.237641608,0.073001889
resnet50.tv_in1k,76.13,0.85,25.56,cnn,none,224,1459.624424,0.30978106,0.070676576
resnet50d.a3_in1k,78.722,0.8623,25.58,cnn,none,160,1314.373649,0.295599358,0.071457565
resnetrs50.tf_in1k,79.896,0.8654,35.69,cnn,none,160,1351.976323,0.262245798,0.068353291
rexnet_100.nav_in1k,77.862,0.8649,4.8,cnn,none,224,1871.923205,0.333274292,0.093146599
rexnet_130.nav_in1k,79.504,0.8824,7.56,cnn,none,224,1964.604761,0.356350699,0.094807658
rexnet_150.nav_in1k,80.324,0.8918,9.73,cnn,none,224,1904.852812,0.359281299,0.095034834
rexnet_200.nav_in1k,81.636,0.9044,16.37,cnn,none,224,1831.040155,0.340203581,0.090005771
rexnet_300.nav_in1k,82.774,0.9184,34.71,cnn,none,224,1994.457664,0.303114908,0.092886557
semnasnet_075.rmsp_in1k,72.992,0.8176,2.91,cnn,none,224,3235.351045,0.391552303,0.094051674
seresnextaa101d_32x8d.sw_in12k_ft_in1k,86.484,0.9448,93.59,cnn,none,224,2363.331017,-0.072563199,0.108360191
